,Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)",Kosher_Status,Halal_Status,Hinduism_Status,Buddhism_Status,Rastafarianism_Status,Diabetic_Status,Low_Sodium_Status,Low_Fat_Status,Low_Cholesterol_Status,Fructose_Intolerance_Status,Nightshade_Sensitivity_Status,Histamine_Intolerance_Status,Vegan_Status,Vegetarian_Status,Pescatarian_Status,Raw_Food_Diet_Status,Paleo_Status,Keto_Status,Lactose_Intolerance_Status,Gluten_Intolerance_Status,Nut_Allergy_Status,Shellfish_Allergy_Status,Fish_Allergy_Status,Soy_Allergy_Status
0,"Milk, NFS","Milk, reduced fat",52,3.33,4.83,4.88,0.0,2.14,1.249,0.458,0.07,9,57,58,0,4,0,0,0,0.057,0.137,0.11,0.061,0,1,1,1,17.9,0.56,0.0,0.1,1.1,0.03,0.0,0.2,125,103,12,0.0,0.43,0.001,1.9,156,39,0,0,0.0,0.046,0.036,0.023,0.056,0.065,0.204,0.576,0.208,0.032,0.465,0.002,0.0,0.074,0.008,0.0,0.003,0.0,0.001,0.0,88.92,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Milk, whole","Milk, whole",61,3.27,4.63,4.81,0.0,3.2,1.86,0.688,0.108,12,31,32,0,7,0,0,0,0.056,0.138,0.105,0.061,0,0,0,0,17.8,0.54,0.0,0.0,1.1,0.05,0.0,0.3,123,101,12,0.0,0.42,0.001,1.9,150,38,0,0,0.0,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.047,0.694,0.004,0.0,0.115,0.013,0.0,0.004,0.001,0.002,0.0,88.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Milk, reduced fat (2%)","Milk, reduced fat",50,3.36,4.9,4.89,0.0,1.9,1.11,0.4,0.058,8,83,83,0,3,0,0,0,0.059,0.137,0.112,0.061,0,2,2,2,18.2,0.55,0.0,0.2,1.1,0.03,0.0,0.2,126,103,12,0.0,0.43,0.001,1.8,159,39,0,0,0.0,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.029,0.41,0.002,0.0,0.061,0.007,0.0,0.003,0.0,0.001,0.0,89.1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Milk, low fat (1%)","Milk, lowfat",43,3.38,5.18,4.96,0.0,0.95,0.568,0.21,0.032,5,58,58,0,1,0,0,0,0.057,0.14,0.113,0.06,0,2,2,2,17.4,0.61,0.0,0.0,1.1,0.02,0.0,0.1,126,103,12,0.0,0.43,0.001,2.1,159,39,0,0,0.0,0.022,0.015,0.011,0.023,0.026,0.093,0.265,0.096,0.014,0.214,0.001,0.0,0.033,0.004,0.0,0.001,0.0,0.0,0.0,89.7,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
4,Buttermilk,"Milk, whole",43,3.46,4.81,5.36,0.0,1.08,0.552,0.199,0.033,5,36,36,0,0,0,0,0,0.048,0.196,0.128,0.039,0,5,5,5,17.7,0.22,0.0,1.0,0.5,0.05,0.0,0.1,120,92,11,0.01,0.43,0.001,2.0,158,92,0,0,0.0,0.029,0.017,0.01,0.022,0.028,0.089,0.258,0.085,0.02,0.221,0.0,0.0,0.022,0.013,0.0,0.0,0.0,0.0,0.0,89.79,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
5,Kefir,"Milk, lowfat",52,3.59,7.48,6.91,0.0,0.96,0.596,0.286,0.047,5,174,174,0,2,0,0,0,0.03,0.172,0.128,0.059,0,18,18,18,15.2,0.3,0.0,0.8,1.0,0.04,0.0,0.6,124,100,12,0.04,0.45,0.009,3.6,159,38,0,0,0.0,0.027,0.016,0.007,0.02,0.026,0.094,0.28,0.106,0.019,0.252,0.004,0.0,0.038,0.006,0.0,0.002,0.0,0.001,0.0,87.26,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
6,Goat milk,"Milk, whole",69,3.56,4.45,4.45,0.0,4.14,2.667,1.109,0.149,11,56,57,0,7,0,0,0,0.048,0.138,0.277,0.046,0,1,1,1,16.0,0.07,0.0,1.3,1.3,0.07,0.0,0.3,134,111,14,0.05,0.3,0.046,1.4,204,50,0,0,0.0,0.128,0.094,0.096,0.26,0.124,0.325,0.911,0.441,0.082,0.977,0.0,0.0,0.109,0.04,0.0,0.0,0.0,0.0,0.0,87.03,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
7,"Non-dairy milk, NFS",Plant-based milk,31,1.14,3.04,2.03,0.1,1.6,0.159,0.782,0.509,0,35,35,0,0,0,0,3,0.017,0.038,0.1,0.012,0,4,4,4,6.8,0.38,0.38,0.0,1.0,2.07,1.97,0.9,153,35,10,0.32,0.2,0.039,0.7,52,51,0,0,0.0,0.002,0.0,0.0,0.0,0.0,0.002,0.113,0.033,0.005,0.767,0.009,0.0,0.447,0.063,0.0,0.0,0.0,0.0,0.0,93.75,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Soy milk, sweetened",Plant-based milk,53,3.41,5.22,4.53,0.0,2.05,0.301,0.399,1.104,0,56,56,0,0,0,0,8,0.06,0.081,0.227,0.053,0,19,19,19,22.7,0.37,0.37,0.0,0.7,0.15,0.0,2.9,97,66,21,0.52,0.3,0.104,1.8,152,33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.209,0.07,0.002,0.394,0.005,0.0,0.949,0.159,0.0,0.0,0.0,0.0,0.0,88.7,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
9,"Soy milk, unsweetened",Plant-based milk,38,3.55,1.29,0.56,0.0,2.12,0.314,0.416,1.15,0,58,58,0,0,0,0,8,0.063,0.084,0.236,0.055,0,20,20,20,23.6,0.39,0.39,0.0,0.7,0.16,0.0,3.0,101,69,22,0.54,0.31,0.108,1.9,158,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.218,0.073,0.002,0.41,0.005,0.0,0.989,0.166,0.0,0.0,0.0,0.0,0.0,92.4,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
10,"Soy milk, chocolate",Plant-based milk,64,3.35,8.32,7.49,0.1,2.03,0.315,0.399,1.068,0,54,54,0,0,0,0,8,0.059,0.08,0.225,0.051,0,19,19,19,21.9,0.36,0.36,0.0,0.6,0.15,0.0,2.8,94,66,22,0.55,0.31,0.112,1.8,151,32,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.213,0.08,0.002,0.394,0.005,0.0,0.918,0.154,0.0,0.0,0.0,0.0,0.0,85.68,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
11,"Almond milk, NFS",Plant-based milk,20,0.54,1.53,1.2,0.0,1.21,0.103,0.72,0.273,0,41,41,0,0,0,0,0,0.0,0.033,0.073,0.0,0,0,0,0,3.1,0.34,0.34,0.0,0.9,3.28,3.28,0.0,171,30,7,0.29,0.17,0.021,0.0,31,59,0,0,0.0,0.004,0.0,0.0,0.0,0.0,0.002,0.077,0.02,0.006,0.712,0.001,0.0,0.273,0.001,0.0,0.0,0.0,0.0,0.0,96.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Rice milk,Plant-based milk,47,0.28,9.17,5.28,0.3,0.97,0.0,0.625,0.313,0,63,63,0,0,0,0,0,0.027,0.142,0.39,0.039,0,2,2,2,2.1,0.63,0.63,0.0,1.0,0.47,0.13,0.2,118,56,11,0.2,0.13,0.037,2.2,27,39,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.624,0.0,0.0,0.305,0.008,0.0,0.0,0.0,0.0,0.0,89.28,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
13,Oat milk,Plant-based milk,45,0.66,5.37,2.04,0.5,2.33,0.187,1.349,0.62,0,0,0,0,0,0,0,9,0.023,0.008,0.056,0.005,0,2,2,2,2.0,0.5,0.5,0.0,1.7,0.37,0.0,1.5,155,20,8,0.21,0.19,0.029,1.5,18,43,0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.124,0.036,0.005,1.303,0.038,0.0,0.465,0.154,0.0,0.0,0.0,0.0,0.0,91.33,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1
14,Coconut milk,Plant-based milk,31,0.21,2.92,2.5,0.0,2.08,2.083,0.0,0.0,0,63,63,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.63,0.63,0.0,1.0,0.0,0.0,0.0,188,0,0,0.3,0.0,0.0,0.0,19,19,0,0,0.0,0.0,0.013,0.165,0.131,1.042,0.411,0.199,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.57,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
15,"Yogurt, NFS","Yogurt, regular",94,6.67,10.22,8.05,0.1,2.87,1.626,0.665,0.254,11,25,25,0,1,0,0,0,0.048,0.22,0.165,0.044,0,8,8,8,14.8,0.62,0.0,1.0,0.6,0.03,0.0,0.1,136,126,13,0.07,0.62,0.018,6.4,179,49,0,0,0.0,0.02,0.04,0.052,0.151,0.088,0.279,0.722,0.234,0.039,0.57,0.019,0.001,0.066,0.017,0.0,0.0,0.0,0.0,0.002,79.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Yogurt, liquid","Yogurt, regular",74,3.65,12.55,10.27,0.1,1.07,0.689,0.298,0.03,4,10,10,0,1,0,0,0,0.032,0.156,0.082,0.036,0,9,9,9,11.6,0.39,0.0,1.5,1.2,0.03,0.0,0.1,129,101,12,0.11,0.62,0.022,2.5,170,53,0,0,0.0,0.032,0.022,0.014,0.03,0.037,0.112,0.29,0.104,0.023,0.244,0.002,0.002,0.022,0.009,0.0,0.0,0.0,0.0,0.0,81.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Yogurt tube,"Yogurt, regular",81,4.34,13.68,11.4,0.1,1.03,0.671,0.29,0.03,5,9,9,0,1,0,0,0,0.04,0.197,0.104,0.045,0,11,11,11,14.2,0.49,0.0,1.7,1.2,0.03,0.0,0.2,156,122,15,0.1,0.71,0.019,3.1,204,60,0,0,0.0,0.031,0.022,0.013,0.03,0.036,0.109,0.283,0.101,0.022,0.238,0.002,0.002,0.021,0.008,0.0,0.0,0.0,0.0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Tzatziki dip,"Dips, gravies, other sauces",91,5.22,4.1,2.5,0.2,6.0,1.894,2.905,0.605,10,21,23,4,17,10,0,9,0.043,0.15,0.171,0.05,0,6,6,6,11.0,0.42,0.0,1.8,0.0,0.74,0.0,9.8,70,81,10,0.03,0.35,0.031,5.6,150,307,0,0,0.0,0.0,0.029,0.048,0.149,0.073,0.237,1.039,0.282,0.065,2.787,0.029,0.0,0.377,0.037,0.0,0.0,0.0,0.0,0.002,83.37,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1
19,"Frozen yogurt, NFS",Ice cream and frozen dairy desserts,127,3.0,21.6,19.92,0.0,3.6,2.326,0.986,0.1,13,48,49,0,9,0,0,0,0.04,0.18,0.07,0.04,0,4,4,4,23.1,0.07,0.0,0.7,0.1,0.09,0.0,0.3,100,89,10,0.46,0.28,0.009,1.9,156,63,0,0,0.0,0.111,0.078,0.044,0.1,0.122,0.377,0.986,0.355,0.078,0.82,0.0,0.0,0.067,0.033,0.0,0.0,0.0,0.0,0.0,71.2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,"Chocolate milk, NFS","Flavored milk, lowfat",65,3.44,10.98,9.55,0.1,0.83,0.462,0.225,0.037,4,54,55,0,4,0,0,0,0.034,0.227,0.134,0.041,0,3,3,3,16.6,0.25,0.0,0.6,1.1,0.01,0.0,0.1,128,97,13,0.24,0.42,0.04,1.9,174,68,1,14,0.0,0.014,0.01,0.006,0.016,0.019,0.068,0.201,0.09,0.011,0.186,0.002,0.0,0.029,0.004,0.0,0.002,0.001,0.001,0.0,83.96,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
21,"Chocolate milk, low fat (1%)","Flavored milk, lowfat",64,3.46,10.15,9.94,0.1,1.11,0.616,0.3,0.049,5,51,52,0,2,0,0,0,0.031,0.247,0.124,0.047,0,3,3,3,17.0,0.23,0.0,0.4,1.1,0.0,0.0,0.1,129,96,13,0.23,0.43,0.028,1.9,172,65,1,12,0.0,0.019,0.013,0.008,0.022,0.025,0.09,0.268,0.12,0.015,0.248,0.003,0.0,0.039,0.006,0.0,0.002,0.001,0.001,0.0,84.5,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
22,"Hot chocolate / cocoa, NFS","Flavored milk, lowfat",72,1.82,13.9,12.0,0.2,1.04,0.612,0.252,0.031,3,34,34,0,1,0,0,1,0.03,0.096,0.101,0.032,0,1,1,1,9.3,0.24,0.0,0.1,0.4,0.03,0.0,0.2,61,69,15,0.08,0.33,0.053,1.2,124,66,3,37,0.0,0.018,0.013,0.008,0.02,0.024,0.076,0.281,0.154,0.012,0.255,0.001,0.0,0.032,0.003,0.0,0.001,0.0,0.0,0.0,82.54,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
23,"Strawberry milk, NFS","Flavored milk, reduced fat",65,3.2,8.54,8.45,0.0,2.06,1.2,0.44,0.067,8,55,55,0,4,0,0,0,0.055,0.136,0.109,0.059,0,1,1,1,17.2,0.54,0.0,0.1,1.1,0.03,0.0,0.2,121,99,12,0.02,0.41,0.001,1.8,150,39,0,0,0.0,0.044,0.035,0.022,0.054,0.062,0.196,0.553,0.2,0.031,0.447,0.002,0.0,0.071,0.008,0.0,0.003,0.0,0.001,0.0,85.44,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Strawberry milk, low fat (1%)","Flavored milk, lowfat",69,3.13,12.3,11.82,0.0,0.89,0.525,0.194,0.03,5,54,54,0,1,0,0,0,0.053,0.138,0.11,0.056,0,2,2,2,16.1,0.56,0.0,0.0,1.0,0.02,0.0,0.1,117,96,11,0.03,0.4,0.001,2.0,147,39,0,0,0.0,0.02,0.014,0.01,0.021,0.024,0.086,0.245,0.089,0.013,0.198,0.001,0.0,0.03,0.004,0.0,0.001,0.0,0.0,0.0,82.94,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
25,"Milk, malted","Flavored milk, reduced fat",66,3.19,8.64,7.81,0.0,2.05,1.195,0.438,0.067,8,114,114,0,4,0,0,0,0.113,0.131,0.89,0.137,0,1,1,1,17.2,0.53,0.0,2.4,1.4,0.56,0.53,0.2,159,98,21,0.71,1.0,0.079,1.8,149,60,0,0,0.0,0.044,0.034,0.022,0.054,0.062,0.195,0.551,0.199,0.031,0.445,0.002,0.0,0.071,0.008,0.0,0.003,0.0,0.001,0.0,85.14,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1
26,Eggnog,Milk shakes and other dairy drinks,88,4.55,8.05,8.05,0.0,4.19,2.591,1.302,0.198,59,58,59,0,7,0,0,54,0.034,0.19,0.105,0.05,0,1,1,1,52.2,0.45,0.0,1.5,1.2,0.21,0.0,0.3,130,109,19,0.2,0.46,0.013,4.2,165,54,0,0,0.0,0.129,0.076,0.044,0.1,0.112,0.401,1.131,0.511,0.101,1.142,0.0,0.0,0.132,0.059,0.0,0.003,0.0,0.0,0.0,82.54,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0
27,Licuado or Batido,Smoothies and grain drinks,75,2.33,13.15,11.48,0.6,1.45,0.81,0.295,0.057,6,36,37,1,5,0,0,7,0.049,0.09,0.241,0.08,0,4,4,4,13.9,0.35,0.0,10.7,0.7,0.08,0.0,0.4,83,72,14,0.04,0.32,0.024,1.3,179,25,0,0,0.0,0.029,0.023,0.015,0.036,0.041,0.129,0.382,0.132,0.022,0.298,0.001,0.0,0.055,0.01,0.0,0.002,0.0,0.001,0.0,82.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Fruit smoothie, NFS",Smoothies and grain drinks,66,2.32,11.98,8.91,1.1,1.1,0.588,0.243,0.095,4,19,20,1,12,0,0,19,0.042,0.1,0.31,0.071,0,9,9,9,11.8,0.28,0.0,9.5,0.6,0.16,0.0,3.3,80,67,14,0.19,0.37,0.034,1.5,174,28,0,0,0.0,0.023,0.017,0.011,0.025,0.03,0.092,0.27,0.093,0.018,0.226,0.001,0.001,0.067,0.031,0.0,0.001,0.0,0.0,0.0,83.96,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Infant formula, NFS","Formula, prepared from powder",66,1.38,7.12,7.12,0.0,3.56,1.342,1.304,0.739,1,59,59,0,0,0,0,0,0.059,0.096,0.67,0.04,10,0,17,10,15.4,0.18,0.18,7.0,1.0,0.78,0.78,5.6,51,28,5,1.19,0.58,0.054,1.7,70,17,0,0,0.0,0.0,0.008,0.084,0.058,0.397,0.162,0.503,0.129,0.006,1.286,0.008,0.004,0.657,0.068,0.0,0.021,0.0,0.0,0.01,87.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Milk, dry, not reconstituted",Not included in a food category,362,36.16,51.98,51.98,0.0,0.77,0.499,0.2,0.03,20,653,653,0,1,0,0,0,0.415,1.55,0.951,0.361,0,50,50,50,169.2,4.03,0.0,6.8,11.0,0.0,0.0,0.1,1257,968,110,0.32,4.08,0.041,27.3,1794,535,0,0,0.0,0.028,0.006,0.007,0.018,0.014,0.083,0.235,0.085,0.022,0.167,0.0,0.0,0.019,0.011,0.0,0.0,0.0,0.0,0.0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Whey, sweet, dry",Not included in a food category,353,12.93,74.46,74.46,0.0,1.07,0.684,0.297,0.034,6,8,8,0,2,0,0,0,0.519,2.208,1.258,0.584,0,12,12,12,225.0,2.37,0.0,1.5,0.0,0.02,0.0,0.1,796,932,176,0.88,1.97,0.07,27.2,2080,1079,0,0,0.0,0.059,0.009,0.01,0.018,0.012,0.104,0.326,0.097,0.033,0.251,0.0,0.0,0.025,0.009,0.0,0.0,0.0,0.0,0.0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Cream, light",Cream and cream substitutes,195,2.96,3.66,3.67,0.0,19.1,10.176,4.525,0.789,59,117,120,0,37,0,0,0,0.023,0.19,0.09,0.044,0,2,2,2,17.4,0.14,0.0,0.8,1.1,0.12,0.0,1.7,91,92,9,0.05,0.32,0.012,4.6,136,72,0,0,0.0,0.388,0.314,0.194,0.456,0.526,1.682,4.585,1.719,0.334,3.952,0.03,0.002,0.654,0.064,0.0,0.027,0.005,0.01,0.0,73.75,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
33,"Cream, heavy",Cream and cream substitutes,343,2.02,3.8,2.92,0.0,35.56,20.4,7.34,1.57,103,327,327,0,0,0,0,0,0.032,0.188,0.061,0.031,0,4,4,4,16.8,0.0,0.0,0.6,1.6,0.92,0.0,3.2,61,57,6,0.0,0.22,0.0,3.0,97,21,0,0,0.0,0.732,0.609,0.384,0.905,1.08,3.4,9.35,3.19,0.656,7.968,0.065,0.003,0.749,0.128,0.0,0.058,0.009,0.02,0.0,58.13,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,"Cream, whipped","Cream cheese, sour cream, whipped cream",346,1.9,9.49,8.55,0.0,33.45,19.191,6.905,1.477,97,308,308,0,0,0,0,0,0.03,0.178,0.057,0.029,0,4,4,4,15.8,0.0,0.0,0.6,1.5,0.86,0.0,3.0,57,54,6,0.0,0.21,0.0,2.9,91,20,0,0,0.0,0.689,0.573,0.361,0.851,1.016,3.198,8.796,3.001,0.617,7.496,0.061,0.003,0.705,0.12,0.0,0.055,0.008,0.019,0.0,54.7,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
35,"Coffee creamer, NFS",Cream and cream substitutes,136,1.0,11.38,11.38,0.0,9.97,1.937,7.551,0.027,0,0,1,0,9,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,2.5,9,64,0,0.03,0.02,0.0,1.1,191,67,0,0,0.0,0.0,0.0,0.005,0.013,0.062,0.019,0.884,0.976,0.0,7.559,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,77.27,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
36,Whipped topping,"Cream cheese, sour cream, whipped cream",318,1.25,23.05,23.05,0.0,25.31,21.783,1.616,0.523,0,0,7,0,86,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,6.3,6,8,2,0.12,0.03,0.03,2.1,18,25,0,0,0.0,0.0,0.0,0.638,0.905,8.836,3.756,3.092,4.58,0.241,1.375,0.0,0.0,0.305,0.218,0.0,0.0,0.0,0.0,0.0,50.21,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
37,"Dip, NFS","Dips, gravies, other sauces",432,2.55,3.94,2.48,0.3,45.18,10.924,10.044,22.115,47,82,83,0,14,2,0,31,0.031,0.129,0.154,0.034,0,8,8,8,28.0,0.12,0.0,1.7,0.1,1.86,0.0,93.1,79,73,10,0.32,0.35,0.018,3.2,126,718,0,0,0.0,0.017,0.1,0.071,0.185,0.267,0.882,6.313,2.288,0.187,10.014,0.13,0.011,19.203,2.703,0.0,0.036,0.003,0.005,0.003,45.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Chipotle dip, regular","Dips, gravies, other sauces",426,1.99,3.15,2.04,0.0,45.08,10.876,10.021,22.087,46,81,82,1,13,3,0,22,0.027,0.092,0.073,0.032,0,6,6,6,26.1,0.09,0.0,3.2,0.1,1.79,0.0,80.1,57,61,6,0.12,0.27,0.012,2.9,91,708,0,0,0.0,0.015,0.099,0.07,0.183,0.266,0.876,6.287,2.281,0.185,9.993,0.13,0.011,19.194,2.685,0.0,0.036,0.003,0.005,0.003,47.46,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0
39,"Chipotle dip, light","Dips, gravies, other sauces",195,1.82,13.2,7.36,0.0,15.15,4.63,3.738,6.176,24,43,46,1,33,2,0,26,0.023,0.058,0.06,0.019,0,7,7,7,13.2,0.19,0.0,3.1,0.1,1.16,0.0,25.2,68,40,6,0.12,0.27,0.019,2.7,118,598,0,0,0.0,0.157,0.092,0.051,0.12,0.138,0.496,2.358,1.01,0.123,3.476,0.035,0.007,5.372,0.79,0.0,0.008,0.0,0.0,0.001,68.09,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
40,"Onion dip, regular","Dips, gravies, other sauces",346,2.15,3.92,2.64,0.2,35.77,8.745,7.95,17.375,38,72,73,0,3,2,0,6,0.033,0.095,0.065,0.037,0,6,6,6,23.7,0.15,0.0,0.9,0.2,1.4,0.0,62.9,65,65,7,0.1,0.29,0.011,2.6,103,563,0,0,0.0,0.019,0.083,0.059,0.153,0.219,0.72,5.033,1.826,0.151,7.929,0.102,0.008,15.101,2.112,0.0,0.029,0.002,0.004,0.002,56.2,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0
41,"Onion dip, light","Dips, gravies, other sauces",166,2.0,11.87,6.85,0.1,12.36,3.866,3.039,4.918,20,42,44,0,19,1,0,10,0.03,0.067,0.055,0.026,0,7,7,7,13.5,0.24,0.0,0.9,0.2,0.92,0.0,19.9,74,49,7,0.1,0.29,0.017,2.4,125,481,0,0,0.0,0.131,0.079,0.044,0.103,0.119,0.424,1.961,0.833,0.102,2.832,0.028,0.005,4.279,0.629,0.0,0.007,0.0,0.0,0.001,72.25,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0
42,"Ranch dip, regular","Dips, gravies, other sauces",432,2.55,3.94,2.48,0.3,45.18,10.924,10.044,22.115,47,82,83,0,14,2,0,31,0.031,0.129,0.154,0.034,0,8,8,8,28.0,0.12,0.0,1.7,0.1,1.86,0.0,93.1,79,73,10,0.32,0.35,0.018,3.2,126,718,0,0,0.0,0.017,0.1,0.071,0.185,0.267,0.882,6.313,2.288,0.187,10.014,0.13,0.011,19.203,2.703,0.0,0.036,0.003,0.005,0.003,45.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"Ranch dip, light","Dips, gravies, other sauces",201,2.35,13.95,7.78,0.2,15.25,4.675,3.76,6.203,24,43,47,0,34,1,0,35,0.028,0.093,0.137,0.022,0,9,9,9,15.0,0.23,0.0,1.6,0.1,1.23,0.0,37.5,89,52,10,0.3,0.35,0.025,3.0,152,607,0,0,0.0,0.158,0.093,0.051,0.121,0.14,0.501,2.383,1.017,0.124,3.496,0.035,0.007,5.381,0.808,0.0,0.008,0.0,0.0,0.001,66.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
